Companies,Description,Industry,Country,Total Funding,Founded Year,Latest Funding Data,Latest Funding Round,Latest Funding Amount
VMware,"VMware (NYSE: VMW) is engaged in cloud infrastructure and delivers virtualization solutions that aim to reduce IT complexity. VMware aims to accelerate an organization's transition to cloud computing, while preserving existing IT investments and enabling efficient and agile service delivery without compromising control.",Networking & Connectivity Software,United States,$394.50M,1998,08/10/2007,Unattributed VC - IV,$218.50M
Tellium,"Tellium delivers high-speed, high-capacity, intelligent optical solutions that empower service providers around the world to create, run, control, simplify and optimize their networks.",Computer Networking Equipment,United States,$352.04M,1997,09/13/2000,Unattributed VC - VIII,$218.00M
StackPath,StackPath offers a comprehensive security platform that provides a suite of mission-critical security web services. It collates and leverages information that each service gathers via a machine learning engine that becomes smarter and more threat-aware with each recorded event.,Internet Software & Services,United States,$396.00M,2015,03/17/2020,Series B,$216.00M
Clearco,Clearco fka Clearbanc builds financial services for entrepreneurs and small business owners. The company provides growth capital for web-enabled businesses using business data instead of a personal credit score.,Internet Software & Services,Canada,$935.01M,2015,07/08/2021,Series C - II,$215.00M
Amplify Education,"Amplify is reimagining the way teachers teach and students learn. The company enables teachers to manage whole classrooms and, at the same time, empower them to offer more personalized instruction, so that students become more active, engaged learners. Amplify's digital products are leading the way in data-driven instruction, breaking new ground in mobile learning and setting the standard for next-generation digital curriculum and assessment. The company's professional services team helps educators improve the way they integrate technology and use data in the classroom.",Internet Software & Services,United States,$215.00M,2000,10/27/2021,Unattributed VC,$215.00M
immunai,"immunai maps the immune system with single-cell biology and AI to power new therapeutic discoveries, accelerate drug development, and improve patient outcomes.",Biotechnology,United States,$292.70M,2018,10/27/2021,Series B,$215.00M
Odoo,"Odoo provides open-source all-in-one business software. The company's software aims to help companies with CRM, sales, e-commerce, marketing, financial and operations services.",Application & Data Integration Software,Belgium,$319.00M,2005,07/29/2021,Growth Equity - IV,$215.00M
JD.com,"JD.com (NASDAQ: JD) is a Chinese e-commerce company. Through its website and mobile applications, the company offers a range of consumer products, which are delivered on-demand. It offers online and in-person payment options.",eCommerce,China,"$2,983.70M",1998,03/10/2014,Corporate Minority,$214.70M
Nandudu,"Nandudu, operated by China Southern Power Grid, is a comprehensive energy service platform that provides energy-saving and new energy information. The platform also provides related products, training, and projects and connects users and businesses.",Internet Software & Services,China,$213.80M,2010,08/09/2019,Unattributed,$213.80M
Hotelbeds,Hotelbeds is a global travel distributor of accommodation and ancillary products to the world's travel trade.,Internet Software & Services,Spain,$394.89M,2001,12/21/2020,Private Equity,$213.71M
Talgentra,"Talgentra is a global IT solutions company providing customer management, billing and revenue collection systems. Talgentra's solutions are deployed in utilities, communications, financial services, aerospace and the public sector.",,United Kingdom,$213.30M,,01/01/2000,Growth Equity,$213.30M
Gerson Lehrman Group,"Gerson Lehrman Group (GLG), founded in 1998, is a technology-enabled learning platform that connects professionals with experts. Companies use GLG to help solve strategic and operational challenges, test hypotheses, gain market feedback, and seek mentorship.",Internet Software & Services,United States,$692.00M,1998,12/22/2015,Private Equity - II,$212.00M
Managed Markets Insights & Technology,"Managed Markets Insights & Technology (MMIT) brings transparency and guidance to pharmacy and medical benefit information. Payers, pharmaceutical manufacturers, providers, and pharmacies use its data and workflow applications to navigate today's rapidly changing healthcare market.",Healthcare Software,United States,"$1,103.94M",1994,10/21/2021,Unattributed - II,$210.59M
Qi An Xin,"Qi An Xin (688561.SH) provides network security technology, products, and services for government, military, enterprise, education, finance, and other institutions and organizations.",Internet Software & Services,China,$860.88M,2015,09/27/2019,Series C,$210.34M
Blockstream,"Blockstream was founded to develop new ways to accelerate crypto currencies, open assets, and smart contracts.",Internet Software & Services,Canada,$311.00M,2014,08/24/2021,Series B,$210.00M
Huasheng Haoche,"Huasheng Haoche (花生好车) is an automotive sales and services platform, providing customers with a new car purchase & leasing platform as well as comprehensive pre-sales and after-sales services.",eCommerce,China,$360.60M,2015,10/24/2018,Series B,$210.00M
FalconX,"FalconX develops a digital asset trading platform that provides a platform, API, and full-service trade desk.",Internet Software & Services,United States,$277.00M,2018,08/10/2021,Series C,$210.00M
Shift Technology,"Shift Technology delivers AI-native decision automation and optimization solutions built specifically for the global insurance industry. Addressing several critical processes across the insurance policy lifecycle, the Shift Insurance Suite helps insurers achieve faster, more accurate claims and policy resolutions.",Internet Software & Services,France,$319.72M,2014,05/06/2021,Series D,$220.00M
Vestiaire Collective,"Vestiaire Collective allows people to buy and sell luxury pre-owned fashion. Vestiaire Collective ensures all items are authenticated and checked before reaching the seller, thereby removing the risks of purchasing counterfeits, mis-spelling, or mispricing items.",eCommerce,France,$664.45M,2009,09/22/2021,Series I,$208.80M
